PanelRuleId,PanelId,PanelRuleName,PanelRuleCode,MinSeverity,MaxSeverity,StandardSummary
1,1,Normal Glycemic Profile,DIA_NORMAL,0,1,"""Your blood sugar values fall within the normal range. This indicates healthy glucose processing and stable metabolic control. Maintaining a balanced diet, good sleep, hydration, and physical activity will help you stay in this optimal zone.,"""
2,1,Borderline Glycemic Pattern,DIA_BORDERLINE,2,2,"""Your glucose values are slightly above the normal range but do not yet indicate pre-diabetes. This stage is often linked with lifestyle factors like reduced activity or high sugar intake. Monitoring and preventive lifestyle adjustments are recommended to avoid progression.,"""
3,1,Early Pre-Diabetes,DIA_PRE_EARLY,3,3,"""Early signs of impaired glucose tolerance are present. This is the first stage where the body begins developing insulin resistance. With timely lifestyle changes such as dietary improvements and regular physical activity, this condition is fully reversible.,"""
4,1,Pre-Diabetes (Established),DIA_PREDIABETES,4,4,"""You fall within the established pre-diabetic category. Blood sugar levels are higher than normal, indicating reduced insulin sensitivity. Without intervention, this stage may progress to diabetes. A structured lifestyle plan and periodic monitoring are strongly advised.,"""
5,1,Diabetes  Threshold Stage,DIA_DM_THRESHOLD,5,5,"""Your test results meet the threshold criteria for diabetes. This means your blood sugar levels are consistently high enough to indicate diabetic changes. A confirmation with a physician and early treatment planning are recommended.,"""
6,1,Diabetes  Mild to Moderate,DIA_DM_MODERATE,6,6,"""Your glucose levels indicate mild to moderate diabetes. This suggests ongoing difficulty in maintaining stable blood sugar control. Treatment planning, lifestyle changes, and regular follow-ups are essential to prevent complications.,"""
7,1,Diabetes  Poor Control,DIA_DM_POOR,7,7,"""Your results show poor diabetic control. The body’s insulin regulation is significantly impaired at this stage. Medication adjustments, consistent monitoring, and close medical supervision are needed to avoid long-term complications.,"""
8,1,Diabetes  Very Poor Control,DIA_DM_VERY_POOR,8,8,"""Your blood sugar levels are severely elevated, indicating very poor diabetic control. At this stage, the body struggles to manage glucose effectively, greatly increasing the risk of nerve damage, kidney issues, vision problems, and heart disease. Immediate medical review and strict management are strongly recommended.,"""
9,1,Diabetes  Critical Hyperglycemia,DIA_DM_CRITICAL,9,9,"""Glucose levels are dangerously high and indicate a potentially critical condition. This stage carries a high risk of diabetic ketoacidosis or hyperosmolar hyperglycemic state. Urgent medical attention is required to prevent life-threatening complications."""
10,2,Normal Thyroid Profile,THY_NORMAL,0,0,"""Your thyroid hormone levels fall within the normal range, indicating healthy thyroid gland function and balanced metabolic regulation. This supports stable energy levels, weight balance, and overall hormonal health. Maintaining a nutritious diet, stress control, and regular checkups will help sustain this optimal state."""
